name,parent_code,mr_name,category_code,bus_stop_type,tag_line,mr_tag_line,description,mr_description,domain_name,logo,icon,image,status,latitude,longitude,pin_code,speciality,rules,social_media,meta_data,email,phone,user_id
Hotel Konkan Spice,Devgad,,restaurant,,Local Konkan cuisine,,Authentic Malvani food restaurant in Devgad,,,,,,1,16.3730000,73.3810000,416612,,,,,,9822123344,
Vengurla Beach,Vengurla,,beach,,Popular beach,,Clean sandy coastline in Vengurla,,,,,,1,15.8600000,73.6380000,416516,,,,,,,
Sagareshwar Beach,Vengurla,,beach,,Scenic beach,,Peaceful coastal area near Sagareshwar,,,,,,1,15.8550000,73.6200000,416516,,,,,,,
Shiroda Beach,Vengurla,,beach,,Long stretch beach,,Wide sandy beach at Shiroda village,,,,,,1,15.7350000,73.6820000,416518,,,,,,,
Vengurla Lighthouse,Vengurla,,tourist_interest,,Historic lighthouse,,19th-century lighthouse with scenic coastal views,,,,,,1,15.8640000,73.6370000,416516,,,,,,,
Nivati Fort,Vengurla,,fort,,Coastal heritage fort,,Historic coastal fort near Vengurla,,,,,,1,15.9000000,73.5900000,416516,,,,,,,
Sagareshwar Temple,Vengurla,,temple,,Shiva temple by the sea,,Shiva temple situated near Sagareshwar beach,,,,,,1,15.8550000,73.6200000,416516,,,,,,,
Swagat Lodge,Vengurla,,accomodation,,Budget stay,,Affordable lodge near Vengurla beach,,,,,,1,15.8600000,73.6380000,416516,,,,,,7588448545,
Hotel Sagar,Vengurla,,restaurant,,Seafood dining,,Popular seafood restaurant in Vengurla,,,,,,1,15.8600000,73.6380000,416516,,,,,,9422056677,
Moti Talao,Sawantwadi,,lake,,Historic lake,,Central ornamental lake in Sawantwadi town,,,,,,1,15.9010000,73.8210000,416510,,,,,,,
Sawantwadi Palace,Sawantwadi,,heritage_site,,Royal heritage palace,,Historic palace of the Sawantwadi royal family,,,,,,1,15.9020000,73.8200000,416510,,,,,,,
Amboli Waterfall,Sawantwadi,,waterfall,,Monsoon waterfall,,Major waterfall tourist attraction at Amboli hill station,,,,,,1,15.9640000,74.0030000,416532,,,,,,,
Sunset Point Amboli,Sawantwadi,,tourist_interest,,Scenic sunset viewpoint,,Scenic sunset viewpoint at Amboli hill station,,,,,,1,15.9620000,74.0000000,416532,,,,,,,
Narayan Temple,Sawantwadi,,temple,,Historic Narayan temple,,Important Narayan temple in Sawantwadi,,,,,,1,15.9010000,73.8210000,416510,,,,,,,
Konkan Crown Resort,Sawantwadi,,accomodation,,Premium resort stay,,Premium resort stay in Sawantwadi,,www.konkancrown.com,,,,1,15.9100000,73.8300000,416510,,,,,,7507778999,
Hotel Visava,Sawantwadi,,restaurant,,Local Konkani meals,,Popular eatery serving local Konkan food in Sawantwadi,,,,,,1,15.9020000,73.8200000,416510,,,,,,9422436677,
Nerur Backwaters,Kudal,,river,,Backwater scenic spot,,Scenic backwaters near Nerur village,,,,,,1,16.0200000,73.6500000,416520,,,,,,,
Karli River,Kudal,,river,,River scenic spot,,Popular river and scenic spot near Kudal,,,,,,1,16.0100000,73.6830000,416520,,,,,,,
Datta Mandir,Kudal,,temple,,Datta temple,,Popular Datta Mandir in Kudal town,,,,,,1,16.0100000,73.6830000,416520,,,,,,,
Sahyadri Homestay,Kudal,,accomodation,,Nature stay,,Peaceful nature homestay near Kudal,,,,,,1,16.0150000,73.6800000,416520,,,,,,7888007788,
Hotel Surya,Kudal,,restaurant,,Local food,,Popular restaurant serving local food in Kudal,,,,,,1,16.0100000,73.6830000,416520,,,,,,9422055566,
Tilari Dam,Dodamarg,,tourist_interest,,Scenic dam,,Major scenic dam and tourist attraction near Dodamarg,,,,,,1,15.7900000,74.1200000,416512,,,,,,,
Hiranyakeshi River,Dodamarg,,river,,Sacred river origin,,Origin point of the sacred Hiranyakeshi river,,,,,,1,15.8200000,74.1300000,416512,,,,,,,
Sateri Temple,Dodamarg,,temple,,Sateri deity temple,,Important Sateri temple in Dodamarg,,,,,,1,15.8000000,74.1100000,416512,,,,,,,
Tilari Farmstay,Dodamarg,,accomodation,,Nature farmstay,,Farmstay accommodation near Tilari dam,,,,,,1,15.7900000,74.1200000,416512,,,,,,9422057788,
Hotel Suruchi,Dodamarg,,restaurant,,Family dining,,Local family restaurant in Dodamarg,,,,,,1,15.7980000,74.1120000,416512,,,,,,9822127788,
Napne Waterfall,Vaibhavwadi,,waterfall,,Scenic waterfall,,Popular waterfall near Vaibhavwadi,,,,,,1,16.5200000,73.7500000,416810,,,,,,,
Gagangad Fort,Vaibhavwadi,,fort,,Hill fort trek,,Hill fort with a scenic trekking trail,,,,,,1,16.3500000,73.6500000,416810,,,,,,,
Mauli Temple,Vaibhavwadi,,temple,,Local deity temple,,Popular Mauli temple near Vaibhavwadi,,,,,,1,16.5000000,73.7500000,416810,,,,,,,
Nature Stay Vaibhavwadi,Vaibhavwadi,,accomodation,,Nature stay,,Peaceful nature stay near Vaibhavwadi,,,,,,1,16.5000000,73.7500000,416810,,,,,,9422439988,
Hotel Vaibhav,Vaibhavwadi,,restaurant,,Local food,,Popular local eatery in Vaibhavwadi,,,,,,1,16.5000000,73.7500000,416810,,,,,,9422053344,
